2026-05-08T05:26:45.491Z CLI debug [main]    Starting main function execution
2026-05-08T05:26:45.491Z CLI debug [main]    Generated binSessionId: 492fcdf8-dc46-412c-b68d-b298ed5f080e
2026-05-08T05:26:45.492Z CLI debug [main]    Resolved listen address: unix:/tmp/sdk-platform-492fcdf8-dc46-412c-b68d-b298ed5f080e.sock
2026-05-08T05:26:45.500Z CLI debug    [2026-05-08T05:26:45.500Z][ TEST REPORTING AND ANALYTICS ] Monitoring has started
2026-05-08T05:26:45.536Z CLI debug [core:bin-session]    Starting bin session with config: {"binSessionId":"492fcdf8-dc46-412c-b68d-b298ed5f080e","sdkLanguage":"ECMAScript","sdkVersion":"9.27.0","pathProject":"/Users/lucky/Documents/WebDriverIO/scripts/wdio-appium2","pathConfig":"/Users/lucky/Documents/WebDriverIO/scripts/wdio-appium2/browserstack.yml","cliArgs":["run","test/config/wdio.androidbs.conf.js"],"frameworks":["WebdriverIO","WebdriverIO-mocha"],"frameworkVersions":{"WebdriverIO":"9.27.0","WebdriverIO-mocha":"9.27.0"},"language":"ECMAScript","languageVersion":"","testFramework":"WebdriverIO-mocha","wdioConfig":"{\"userName\":\"****\",\"accessKey\":\"****\",\"platforms\":[{\"platformName\":\"Android\",\"appium:deviceName\":\"Google Pixel 5\",\"appium:platformVersion\":\"13\",\"appium:app\":\"bs://8a49ee74326c14fe1573ec170689722c0bee468b\",\"appium:appActivity\":\"com.swaglabsmobileapp.MainActivity\",\"appium:automationName\":\"UiAutomator2\",\"wdioService\":\"9.27.0\"}],\"isNonBstackA11yWDIO\":false,\"accessibility\":null,\"testObservability\":true,\"testContextOptions\":{\"skipSessionName\":false,\"skipSessionStatus\":false,\"sessionNameOmitTestTitle\":false,\"sessionNamePrependTopLevelSuiteTitle\":false,\"sessionNameFormat\":\"\"},\"buildTag\":[]}"}
2026-05-08T05:26:45.537Z CLI info    Config : {"userName":"[REDACTED]","accessKey":"[REDACTED]","platforms":[{"platformName":"Android","appium:deviceName":"Google Pixel 5","appium:platformVersion":"13","appium:app":"bs://8a49ee74326c14fe1573ec170689722c0bee468b","appium:appActivity":"com.swaglabsmobileapp.MainActivity","appium:automationName":"UiAutomator2","wdioService":"9.27.0"}],"isNonBstackA11yWDIO":false,"accessibility":null,"testObservability":true,"testContextOptions":{"skipSessionName":false,"skipSessionStatus":false,"sessionNameOmitTestTitle":false,"sessionNamePrependTopLevelSuiteTitle":false,"sessionNameFormat":""},"buildTag":[]}
2026-05-08T05:26:45.538Z CLI debug [TEST REPORTING AND ANALYTICS:git]    Unable to find a Git directory
2026-05-08T05:26:45.538Z CLI info    Should start debug utility: undefined
2026-05-08T05:26:45.539Z CLI debug [sdk:service]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  StartBinSession details: {"binSessionId":"492fcdf8-dc46-412c-b68d-b298ed5f080e","sdkLanguage":"ECMAScript","sdkVersion":"9.27.0","pathProject":"/Users/lucky/Documents/WebDriverIO/scripts/wdio-appium2","pathConfig":"/Users/lucky/Documents/WebDriverIO/scripts/wdio-appium2/browserstack.yml","cliArgs":["run","test/config/wdio.androidbs.conf.js"],"frameworks":["WebdriverIO","WebdriverIO-mocha"],"frameworkVersions":{"WebdriverIO":"9.27.0","WebdriverIO-mocha":"9.27.0"},"language":"ECMAScript","languageVersion":"","testFramework":"WebdriverIO-mocha","wdioConfig":"{\"userName\":\"[REDACTED]\",\"accessKey\":\"[REDACTED]\",\"platforms\":[{\"platformName\":\"Android\",\"appium:deviceName\":\"Google Pixel 5\",\"appium:platformVersion\":\"13\",\"appium:app\":\"bs://8a49ee74326c14fe1573ec170689722c0bee468b\",\"appium:appActivity\":\"com.swaglabsmobileapp.MainActivity\",\"appium:automationName\":\"UiAutomator2\",\"wdioService\":\"9.27.0\"}],\"isNonBstackA11yWDIO\":false,\"accessibility\":null,\"testObservability\":true,\"testContextOptions\":{\"skipSessionName\":false,\"skipSessionStatus\":false,\"sessionNameOmitTestTitle\":false,\"sessionNamePrependTopLevelSuiteTitle\":false,\"sessionNameFormat\":\"\"},\"buildTag\":[]}","id":"492fcdf8-dc46-412c-b68d-b298ed5f080e","config":{"userName":"[REDACTED]","accessKey":"[REDACTED]","platforms":[{"platformName":"Android","appium:deviceName":"Google Pixel 5","appium:platformVersion":"13","appium:app":"bs://8a49ee74326c14fe1573ec170689722c0bee468b","appium:appActivity":"com.swaglabsmobileapp.MainActivity","appium:automationName":"UiAutomator2","wdioService":"9.27.0"}],"isNonBstackA11yWDIO":false,"accessibility":null,"testObservability":true,"testContextOptions":{"skipSessionName":false,"skipSessionStatus":false,"sessionNameOmitTestTitle":false,"sessionNamePrependTopLevelSuiteTitle":false,"sessionNameFormat":""},"buildTag":[],"browserStackLocalOptions":{"key":"[REDACTED]","skipBinaryInitialisation":false},"browserstackLocal":false,"browserstackAutomation":true,"selfHeal":false,"disableAutoCaptureLogs":false,"testhub":true,"additionalPlatforms":[],"additionalParams":{}},"ciInfo":{"build_number":null},"versionControlInfo":{},"hostInfo":{"hostname":"Luckys-MacBook-Air.local","platform":"darwin","type":"Darwin","version":"Darwin Kernel Version 25.4.0: Thu Mar 19 19:32:36 PDT 2026; root:xnu-12377.101.15~1/RELEASE_ARM64_T8103","arch":"arm64"},"data":{},"isAppAutomate":false,"browserstackSDK":"WebdriverIO-mocha-ECMAScriptagent/9.27.0","productMap":{"observability":true,"accessibility":false,"percy":false,"automate":true,"app_automate":false,"turboscale":false,"central_scanner":false,"lts":false}}
2026-05-08T05:26:45.539Z CLI info [testhub:module]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Starting testhub from 9842:0
2026-05-08T05:26:45.539Z CLI debug [testhub:utils]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  detectBuildTool: no build tool detected for language "ecmascript"
2026-05-08T05:26:45.539Z CLI debug [testhub:module]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  startBuild: payload={"started_at":"2026-05-08T05:26:45.539Z","host_info":{"hostname":"Luckys-MacBook-Air.local","platform":"darwin","type":"Darwin","version":"Darwin Kernel Version 25.4.0: Thu Mar 19 19:32:36 PDT 2026; root:xnu-12377.101.15~1/RELEASE_ARM64_T8103","arch":"arm64"},"ci_info":{"build_number":null},"version_control":{},"project_name":"","build_run_identifier":null,"description":"","tags":[],"failed_tests_rerun":false,"accessibility":{"settings":{}},"framework_details":{"frameworkName":"WebdriverIO-mocha","frameworkVersion":"9.27.0","sdkVersion":"9.27.0","cliVersion":"1.30.0","language":"ECMAScript","testFramework":{"name":"WebdriverIO","version":"9.27.0"}},"product_map":{"observability":true,"accessibility":null,"percy":false,"automate":true,"app_automate":false,"lts":false},"browserstackAutomation":true,"test_orchestration":{}}
2026-05-08T05:26:45.539Z CLI info   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  [PRODUCTION] Making POST request to https://sdk.browserstack.com
2026-05-08T05:26:45.540Z CLI debug [core:http]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Sending request to https://sdk.browserstack.com/api/v1/build/start
2026-05-08T05:26:45.540Z CLI debug [selenium]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  FindNearestHub called with hubPath: /wd/hub
2026-05-08T05:26:45.540Z CLI debug [selenium]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  No cached result or no search in-progress, initiating findNearestHub
2026-05-08T05:26:45.541Z CLI debug [selenium]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Fetching list of next available hubs from BrowserStack
2026-05-08T05:26:45.541Z CLI info   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  [PRODUCTION] Making GET request to https://hub.browserstack.com
2026-05-08T05:26:45.541Z CLI debug [core:http]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Sending request to https://hub.browserstack.com/next_hubs
2026-05-08T05:26:45.699Z CLI debug [core:http]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Response from https://hub.browserstack.com/next_hubs: 200 OK
2026-05-08T05:26:45.700Z CLI debug [selenium]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Response from https://hub.browserstack.com/next_hubs: 200
2026-05-08T05:26:45.700Z CLI debug [selenium]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Fetched next hubs successfully: {"hubs":["hub-aps.browserstack.com","hub-euw.browserstack.com","hub-apse.browserstack.com"]}
2026-05-08T05:26:45.700Z CLI debug [selenium]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Checking hub availability at https://hub-aps.browserstack.com
2026-05-08T05:26:45.700Z CLI debug [selenium]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Sending request to https://hub-aps.browserstack.com/check
2026-05-08T05:26:45.700Z CLI info   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  [PRODUCTION] Making GET request to https://hub-aps.browserstack.com
2026-05-08T05:26:45.700Z CLI debug [core:http]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Sending request to https://hub-aps.browserstack.com/check
2026-05-08T05:26:45.700Z CLI debug [selenium]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Checking hub availability at https://hub-euw.browserstack.com
2026-05-08T05:26:45.700Z CLI debug [selenium]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Sending request to https://hub-euw.browserstack.com/check
2026-05-08T05:26:45.700Z CLI info   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  [PRODUCTION] Making GET request to https://hub-euw.browserstack.com
2026-05-08T05:26:45.700Z CLI debug [core:http]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Sending request to https://hub-euw.browserstack.com/check
2026-05-08T05:26:45.700Z CLI debug [selenium]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Checking hub availability at https://hub-apse.browserstack.com
2026-05-08T05:26:45.701Z CLI debug [selenium]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Sending request to https://hub-apse.browserstack.com/check
2026-05-08T05:26:45.701Z CLI info   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  [PRODUCTION] Making GET request to https://hub-apse.browserstack.com
2026-05-08T05:26:45.701Z CLI debug [core:http]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Sending request to https://hub-apse.browserstack.com/check
2026-05-08T05:26:45.704Z CLI debug   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Not Needed to write this in file request:https://hub.browserstack.com/next_hubs {"name":"request:https://hub.browserstack.com/next_hubs","entryType":"measure","startTime":1778218005541.188,"duration":158.70079199969769,"detail":null,"success":true,"failure":null,"worker":"unknown","platform":0}
2026-05-08T05:26:45.825Z CLI debug [core:http]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Response from https://hub-aps.browserstack.com/check: 200 OK
2026-05-08T05:26:45.826Z CLI debug [selenium]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Response from https://hub-aps.browserstack.com/check: 200 - Hub available
2026-05-08T05:26:45.826Z CLI debug [selenium]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Hub at https://hub-aps.browserstack.com responded successfully with latency: 125.78083400055766 ms.
2026-05-08T05:26:45.826Z CLI debug [selenium]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Successfully found nearest hub
2026-05-08T05:26:45.826Z CLI debug   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Need to write this in file sdk:cli:findNearestHub
2026-05-08T05:26:45.826Z CLI debug   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  lock attaned.
2026-05-08T05:26:45.826Z CLI debug   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Not Needed to write this in file request:https://hub-aps.browserstack.com/check {"name":"request:https://hub-aps.browserstack.com/check","entryType":"measure","startTime":1778218005700.453,"duration":125.46933300048113,"detail":null,"success":true,"failure":null,"worker":"unknown","platform":0}
2026-05-08T05:26:46.374Z CLI debug [core:http]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Response from https://hub-euw.browserstack.com/check: 200 OK
2026-05-08T05:26:46.374Z CLI debug [selenium]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Response from https://hub-euw.browserstack.com/check: 200 - Hub available
2026-05-08T05:26:46.375Z CLI debug [selenium]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Hub at https://hub-euw.browserstack.com responded successfully with latency: 674.1357500003651 ms.
2026-05-08T05:26:46.376Z CLI debug   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Not Needed to write this in file request:https://hub-euw.browserstack.com/check {"name":"request:https://hub-euw.browserstack.com/check","entryType":"measure","startTime":1778218005700.8572,"duration":673.9610419999808,"detail":null,"success":true,"failure":null,"worker":"unknown","platform":0}
2026-05-08T05:26:46.399Z CLI debug [core:http]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Response from https://sdk.browserstack.com/api/v1/build/start: 200 OK
2026-05-08T05:26:46.399Z CLI info [testhub:module]   [492fcdf8-dc46-412c-b68d-b298ed5f080e]  startBuild: response=qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j
2026-05-08T05:26:46.400Z CLI debug [testhub:module]  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  onStart: 492fcdf8-dc46-412c-b68d-b298ed5f080e
2026-05-08T05:26:46.400Z CLI debug  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Firing CLI event for funnel data at sdk/v1/event
2026-05-08T05:26:46.401Z CLI debug [instrumentation:funnel]  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Sending request to sdk/v1/event
2026-05-08T05:26:46.401Z CLI info  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  [PRODUCTION] Making POST request to https://api.browserstack.com
2026-05-08T05:26:46.401Z CLI debug [core:http]  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Sending request to https://api.browserstack.com/sdk/v1/event
2026-05-08T05:26:46.402Z CLI debug  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Not Needed to write this in file sdk:hook:onStart:_0x4c9f32 {"name":"sdk:hook:onStart:_0x4c9f32","entryType":"measure","startTime":1778218005539.2732,"duration":861.0456670001149,"detail":null,"success":true,"failure":null,"worker":"unknown","platform":0}
2026-05-08T05:26:46.402Z CLI debug  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Need to write this in file sdk:testhub
2026-05-08T05:26:46.403Z CLI debug  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  lock attaned.
2026-05-08T05:26:46.403Z CLI debug  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Not Needed to write this in file request:https://sdk.browserstack.com/api/v1/build/start {"name":"request:https://sdk.browserstack.com/api/v1/build/start","entryType":"measure","startTime":1778218005540.1116,"duration":859.3284579999745,"detail":null,"success":true,"failure":null,"worker":"unknown","platform":0}
2026-05-08T05:26:46.691Z CLI debug [core:http]  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Response from https://api.browserstack.com/sdk/v1/event: 200 OK
2026-05-08T05:26:46.691Z CLI debug [instrumentation:funnel]  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Response from sdk/v1/event: 200
2026-05-08T05:26:46.692Z CLI debug [instrumentation:funnel]  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  API Event response - {"data":{"message":"SDK Event recorded successfully"},"body":"{\"message\":\"SDK Event recorded successfully\"}","statusCode":200}
2026-05-08T05:26:46.692Z CLI debug [instrumentation:module]  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Instrumentation onStart: 492fcdf8-dc46-412c-b68d-b298ed5f080e
2026-05-08T05:26:46.692Z CLI debug [TEST REPORTING AND ANALYTICS:module]  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  onStart: 492fcdf8-dc46-412c-b68d-b298ed5f080e language=ecmascript
2026-05-08T05:26:46.692Z CLI debug [ai:module]  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  onStart: enabled=false isAuthenticated=undefined
2026-05-08T05:26:46.693Z CLI debug [percy:module]  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  onStart: enabled=false configured=false
2026-05-08T05:26:46.693Z CLI debug [local:module]  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  onStart: enabled=undefined configured=undefined
2026-05-08T05:26:46.693Z CLI debug [app-automate:module]  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  App handling disabled.
2026-05-08T05:26:46.693Z CLI debug [sdk:service]  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  onStart hook invoked successfully.
2026-05-08T05:26:46.693Z CLI debug [core:bin-session]  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Starting to generate capabilities for all platforms.
2026-05-08T05:26:46.693Z CLI debug [core:bin-session]  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Primary platforms to configure: 1, additional: 0)
2026-05-08T05:26:46.693Z CLI debug [core:bin-session]  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Processing platform: 0
2026-05-08T05:26:46.694Z CLI debug  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Platform caps before processing (isSecondaryDriver=false): {"platformName":"Android","appium:deviceName":"Google Pixel 5","appium:platformVersion":"13","appium:app":"bs://8a49ee74326c14fe1573ec170689722c0bee468b","appium:appActivity":"com.swaglabsmobileapp.MainActivity","appium:automationName":"UiAutomator2","wdioService":"9.27.0"}
2026-05-08T05:26:46.694Z CLI debug  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  root caps before processing: {"appium:deviceName":"Google Pixel 5","appium:platformVersion":"13","appium:app":"bs://8a49ee74326c14fe1573ec170689722c0bee468b","appium:appActivity":"com.swaglabsmobileapp.MainActivity","appium:automationName":"UiAutomator2","platformName":"Android"}
2026-05-08T05:26:46.694Z CLI debug  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  bstack caps before processing: {"userName":"[REDACTED]","accessKey":"[REDACTED]","wdioService":"9.27.0","hostName":"Luckys-MacBook-Air.local","browserstackSDK":"WebdriverIO-mocha-ECMAScriptagent/9.27.0"}
2026-05-08T05:26:46.694Z CLI debug  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  root caps after processing: {"appium:deviceName":"Google Pixel 5","appium:platformVersion":"13","appium:app":"bs://8a49ee74326c14fe1573ec170689722c0bee468b","appium:appActivity":"com.swaglabsmobileapp.MainActivity","appium:automationName":"UiAutomator2","platformName":"Android"}
2026-05-08T05:26:46.694Z CLI debug  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  bstack caps after processing: {"userName":"[REDACTED]","accessKey":"[REDACTED]","wdioService":"9.27.0","hostName":"Luckys-MacBook-Air.local","browserstackSDK":"WebdriverIO-mocha-ECMAScriptagent/9.27.0"}
2026-05-08T05:26:46.694Z CLI debug [core:bin-session]  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Generated capabilities for platform 0:, {"appium:app":"bs://8a49ee74326c14fe1573ec170689722c0bee468b","appium:appActivity":"com.swaglabsmobileapp.MainActivity","appium:automationName":"UiAutomator2","platformName":"Android","bstack:options":{"userName":"[REDACTED]","accessKey":"[REDACTED]","wdioService":"9.27.0","hostName":"Luckys-MacBook-Air.local","browserstackSDK":"WebdriverIO-mocha-ECMAScriptagent/9.27.0","buildProductMap":{"observability":true,"accessibility":false,"percy":false,"automate":true,"app_automate":false,"turboscale":false,"central_scanner":false,"lts":false},"deviceName":"Google Pixel 5","platformVersion":"13","useW3C":true,"accessibilityOptions":{}}}
2026-05-08T05:26:46.694Z CLI debug [core:bin-session]  [qj5jexlw1re40czthnpqdyrb256d18a7dcb5e51j]  [492fcdf8-dc46-412c-b68d-b298ed5f080e]  Capabilities set for platform 0
